alarmcreatedevent,vm_alarm
alarmremovedevent,vm_alarm
alarmstatuschangedeventvm,vm_alarm
clonetaskevent,vm_clone
clonevm_task,vm_clone
clonevm_task_complete,vm_clone
clusterovercommittedevent,clusterovercommitted
clusterstatuschangedevent,clusterstatuschanged
compute.instance.create.end,vm_created
compute.instance.shutdown.end,vm_stopped
compute.instance.delete.end,vm_removed
compute.instance.power_off.end,vm_power_off
compute.instance.power_on.end,vm_power_on
compute.instance.soft_delete.end,vm_disconnected
compute.instance.reboot.end,vm_rebooted
compute.instance.suspend,vm_suspended
compute.instance.pause,vm_paused
compute.instance.shelve.end,vm_shelved
compute.instance.unshelve.end,vm_unshelved
compute.instance.shelve_offload.end,vm_shelved_offloaded
compute.instance.resume,vm_resuming
createsnapshot_task,vm_snapshot_create
createvm_task,vm_being_created
createvm_task_complete,vm_created
dashostfailedevent,host_warning
datastorediscoveredevent,discovery
destroy_task,vm_removing
destroy_task_complete,vm_removed
disconnecthost_task,host_connecting
drsvmpoweredonevent,poweron_vm_task_complete
evmalertevent,evm_alert
failoverlevelrestored,failoverlevelrestored
generalhostwarningevent,host_warning
generaluserevent,generaluserevent
hostconnectedevent,host_connected
hostconnectionlostevent,host_disconnected
hostdaserrorevent,host_warning
hostdisconnectedevent,host_disconnected
host_alert_fencing_operation_skipped,host_warning
host_detected,host_connecting
host_low_mem,host_warning
importexport_export_template,vm_created
importexport_starting_export_template,vm_being_created
irs_disk_space_low_error,generaluserevent
licenseserverunavailableevent,license
markastemplate,vm_to_template
markastemplate_complete,vm_to_template_complete
migrationhostwarningevent,host_warning
migratetaskevent,vm_migrate
poweroffvm_task,vm_powering_off
poweroffvm_task_complete,vm_power_off
poweronmultivm_task,vm_power_on_multi
poweronvm_task,poweron_vm_task
poweronvm_task_complete,poweron_vm_task_complete
rebootguest,vm_rebooting
rebootguest_complete,vm_rebooted
recommendhostsforvm,recommend_hosts_for_vm
reconfigvm_task,vm_registering
reconfigvm_task_complete,vm_registered
reconnecthost_task,host_connecting
refreshstoragesystem,refresh_storage_system
registervm_task,vm_registering
registervm_task_complete,vm_registered
relocattaskevent,relocating
relocatevm_task,relocating
relocatevm_task_complete,relocated
removealarm,vm_alarm
removeallsnapshots_task,vm_snapshot_remove
removesnapshot_task,vm_snapshot_remove
rescanallhba,scan
rescanvmfs,scan
resourcepoolreconfiguredevent,resourcepoolreconfigured
reverttosnapshot_task,vm_snapshot_revert
scheduledtaskstartedevent,scheduledtaskstarted
shutdownguest,vm_stopping
shutdownguest_complete,vm_stopped
tasktimeoutevent,tasktimeout
templatedeployedevent,template_deployed
templatetovm,template_to_vm
unregistervm,vm_registering
unregistervm_complete,vm_unregister
userloginsessionevent,user_login
userlogoutsessionevent,user_logout
user_initiated_shutdown_vm,vm_stopping
user_moved_vm,vm_migrate
user_moved_vm_finished_success,vm_migrate
user_run_vm,vm_power_on
user_started_vm,vm_starting
user_stopped_vm_instead_of_shutdown,vm_power_off
user_update_vm,vm_registered
vmacquiredmksticketevent,vm_acquired_mks_ticket
vmbeingclonedevent,vm_clone
vmbeingcreatedevent,vm_being_created
vmbeingdeployedevent,vm_being_deployed
vmbeingrelocatedevent,relocating
vmclonedevent,vm_clone
vmconfigmissingevent,vm_warning
vmconnectedevent,vm_connected
vmcreatedevent,vm_created
vmcreatesnapshot,vm_snapshot_create
vmdeployedevent,vm_deployed
vmdisconnectedevent,vm_disconnected
vmguestshutdownevent,vm_stopping
vmmacassignedevent,vm_mac_assigned
vmmigratedevent,vm_migrate
vmpoweredoffevent,vm_power_off
vmpoweredonevent,vm_power_on
vmguestrebootevent,vm_rebooting
vmreconfiguredevent,vm_registered
vmregisteredevent,vm_registering
vmrelocatedevent,relocated
vmremovedevent,vm_removed
vmresourcepoolmovedevent,vm_resourcepool_moved
vmresourcereallocatedevent,change
vmresumingevent,vm_resuming
vmrevertsnapshot,vm_snapshot_revert
vmstartedonevent,vm_started_on
vmstartingevent,vm_starting
vmstoppedevent,vm_stopped
vmstoppingevent,vm_stopping
vmsuspendedevent,vm_suspended
vmsuspendingevent,vm_suspending
vmtotemplate,vm_to_template
vmuuidassignedevent,vm_uuid_assigned
