name,description,max_concurrent,external_failover,license_required,role_scope
automate,Automation Engine,0,false,automate,region
database_operations,Database Operations,0,false,,region
database_owner,Database Owner,1,false,,database
database_synchronization,Database Synchronization,1,false,,region
ems_inventory,Provider Inventory,1,false,,zone
ems_metrics_collector,Capacity & Utilization Data Collector,0,false,,zone
ems_metrics_coordinator,Capacity & Utilization Coordinator,1,false,,zone
ems_metrics_processor,Capacity & Utilization Data Processor,0,false,,zone
ems_operations,Provider Operations,0,false,,zone
event,Event Monitor,1,false,,zone
notifier,Notifier,1,false,,region
reporting,Reporting,0,false,,region
rhn_mirror,RHN Mirror,0,false,,region
scheduler,Scheduler,1,false,,region
smartproxy,SmartProxy,0,false,,zone
smartstate,SmartState Analysis,0,false,,zone
storage_inventory,Storage Inventory,1,false,,zone
storage_metrics_collector,Storage Capacity & Utilization Data Collector,0,false,,zone
storage_metrics_coordinator,Storage Capacity & Utilization Coordinator,1,false,,zone
storage_metrics_processor,Storage Capacity & Utilization Data Processor,0,false,,zone
user_interface,User Interface,0,false,,region
vdi_inventory,VDI Inventory,1,false,,zone
vmdb_storage_bridge,Virtual Environment to Storage Bridge,1,false,,zone
web_services,Web Services,0,false,,region
